Context,Response,Category,Severity,Source
I'm having thoughts of suicide,"I'm very concerned. Please contact 988 Suicide & Crisis Lifeline immediately (call/text 988) or Crisis Text Line (text HOME to 741741). If in immediate danger, call 911. Your life has value.",crisis,high,CrisisSupport
I want to hurt myself,"Your safety is critical. Please reach out to 988 Lifeline (call/text 988), Crisis Text Line (text HOME to 741741), or go to your nearest ER. Help is available 24/7.",crisis,high,CrisisSupport
I feel like ending it all,"I hear you're in pain. Contact crisis support now: 988 Lifeline (call/text 988), Crisis Text Line (text HOME to 741741), or call 911. You don't have to face this alone.",crisis,high,CrisisSupport
I can't stop worrying about everything,Chronic worry is treatable. Try the 4-7-8 breathing technique and grounding exercises. Consider Cognitive Behavioral Therapy with a mental health professional.,crisis,high,CrisisSupport
I have panic attacks daily,"Panic attacks are frightening but manageable. During an attack: focus on slow breathing, ground yourself, remember it will pass. A therapist can teach you effective coping techniques.",crisis,high,CrisisSupport
I feel depressed and can't get out of bed,"Depression makes everything harder. Small steps help: maintain sleep schedule, get sunlight, move your body. Most importantly, speak with a mental health professional about therapy/medication.",crisis,high,CrisisSupport
Nothing makes me happy anymore,"Anhedonia (loss of pleasure) is treatable. With proper therapy and possibly medication, you can feel joy again. Please consult a mental health provider.",crisis,high,CrisisSupport
I'm so stressed I can't function,"Overwhelming stress needs attention now. Try deep breathing, take a walk, practice 5-minute meditation. If unmanageable, speak with a counselor about coping strategies.",crisis,high,CrisisSupport
I feel anxious all the time,"Constant anxiety is exhausting but treatable. Practice grounding exercises, try progressive muscle relaxation. Consider seeing a therapist who specializes in anxiety disorders.",crisis,high,CrisisSupport
Life doesn't feel worth living,"Life can improve with support. Please contact 988 Lifeline (call/text 988), Crisis Text Line (text HOME to 741741), or your local crisis center. Recovery is possible.",crisis,high,CrisisSupport
I'm planning to harm myself,"This is an emergency. Please contact 988 immediately, go to your nearest ER, or call 911. Your safety is the top priority. Professional help is available now.",anxiety,medium,CrisisSupport
Nobody would care if I was gone,"Your life matters. Please reach out: 988 Lifeline (call/text 988), Crisis Text Line (text HOME to 741741). People care about you and help is available 24/7.",anxiety,medium,CrisisSupport
I need help right now,"I'm glad you're reaching out. For immediate help: 988 Lifeline (call/text 988), Crisis Text Line (text HOME to 741741), SAMHSA (1-800-662-4357), or your local crisis center.",anxiety,medium,CrisisSupport
I'm having a mental breakdown,"A mental breakdown means you need support NOW. Call 988, go to urgent care/ER, or contact a crisis center. You deserve immediate professional help.",anxiety,medium,CrisisSupport
My heart races and I feel scared,Physical anxiety symptoms are treatable. The fight-or-flight response causes racing heart. Practice deep breathing and progressive muscle relaxation. A therapist can help.,anxiety,medium,CrisisSupport
I can't sleep because of anxiety,"Sleep anxiety is common and treatable. Establish a bedtime routine, avoid screens before bed, try progressive muscle relaxation. Consider therapy for underlying anxiety.",depression,medium,CrisisSupport
I feel hopeless about the future,"Hopelessness is a symptom of depression and treatable. With proper therapy and/or medication, your perspective can change. Please consult a mental health professional.",depression,high,CrisisSupport
I'm overwhelmed and don't know what to do,"Feeling overwhelmed is valid. Break problems into smaller steps, practice self-compassion, reach out for support. A counselor can help you develop coping strategies.",depression,high,CrisisSupport
I think about suicide often,Suicidal thoughts are serious. Please contact 988 Lifeline (call/text 988) or Crisis Text Line (text HOME to 741741). These feelings can be treated. Help is available.,crisis,high,CrisisSupport
I need someone to talk to urgently,"I'm here. For immediate support: 988 Lifeline (call/text 988), Crisis Text Line (text HOME to 741741), or SAMHSA (1-800-662-4357). You're taking the right step by reaching out.",crisis,high,CrisisSupport
